nama_produk,harga_produk,penjual,lokasi_toko,jumlah_terjual,rating_produk,brand
Fiesta Cheesy Chicken With Broccoli nugget brokoli 500gram,62600,Naturallyoufm,Jakarta Utara,250,5.0,Fiesta
Fiesta Spicy Nugget 500gr,53000,Brother Meat Shop,Depok,100,5.0,Fiesta
Fiesta Hot Spicy Chicken Nugget / Naget Ayam Pedas,48300,HokTung Mart,Jakarta Utara,100,5.0,Fiesta
FIESTA CRISPY BUBBLE NUGGET NAGET AYAM KRISPI 500 GRAM,43500,BINTAN Frozen Foods,Tangerang Selatan,100,5.0,Fiesta
fiesta pokpok 500gr nugget,54000,KENKEN FROZEN FOOD,Jakarta Selatan,17,5.0,Fiesta
fiesta spicy wings 500gr golden/nugget/sayap ayam/frozen,63000,AS FROZEN MART,Tangerang,70,5.0,Fiesta
CHICKEN GARLIC CHEESE FIESTA 500GR HALAL NAGET AYAM ISI KEJU BAWANG PU,66450,LatteBless,Jakarta Selatan,100,5.0,Fiesta
Fiesta Cheesy Lover Naget Ayam Isi Keju dan Daging Ayam Asap 500gr,61000,Super Food Mania,Jakarta Timur,100,5.0,Fiesta
Fiesta Stikie 500 gram Fiesta Chicken Stick Naget Ayam Fiesta Stik,46500,ANEKA BOGA FROZEN FOOD,Jakarta Timur,100,5.0,Fiesta
fiesta stikie 500g / nugget stikie fiesta 500gram / fiesta stick nuget,47500,teluk frozen,Jakarta Utara,100,5.0,Fiesta
Fiesta Crispy Bubble nuget 500 gram,43500,Syafira Susu,Jakarta Barat,80,5.0,Fiesta
Stikie Fiesta Chicken Nugget 250gr/500gr,26900,Naturallyoufm,Jakarta Utara,1000,5.0,Fiesta
chiken nugget fiesta 250 gr,28000,BAKUL SAYUR MURAH,Jakarta Barat,30,4.8,Fiesta
Fiesta cheesy lover 500 gr / nugget keju 500gram / naget ayam isi keju,60500,teluk frozen,Jakarta Utara,100,5.0,Fiesta
FIESTA SPICY NUGGET 500 GR,47000,Zahra Froz,Jakarta Timur,250,5.0,Fiesta
FIESTA NUGGET STIKIE 500 GR,48900,Madina Frost,Kab. Tangerang,100,5.0,Fiesta
FIESTA CHICKEN NUGGET 500 GR,67600,Hypermart Villa Melati,Tangerang Selatan,80,5.0,Fiesta
FIESTA CHICKEN STIKIE 500 GR - NUGGET,68610,Foodmart Semanggi,Jakarta Selatan,10,5.0,Fiesta
Fiesta Chicken Nugget 250g | Nugget Ayam Fiesta 250g | Halal,24912,Toko DFF,Jakarta Selatan,100,4.9,Fiesta
Fiesta Chicken Nugget 250gr/500gr,26900,HokTung Mart,Jakarta Utara,750,5.0,Fiesta
Fiesta Nugget Dino 500 gram Nugget Bentuk Dinosaurus,50900,Naturallyoufm,Jakarta Utara,250,5.0,Fiesta
Stikie Fiesta Chicken Nugget 250gr/500gr,26900,HokTung Mart,Jakarta Utara,500,5.0,Fiesta
Fiesta Nugget Dino 500Gr Naget Ayam Bentuk Dinosaurus,51000,Frostmart,Jakarta Utara,100,5.0,Fiesta
Chicken Nugget 250 Gram Fiesta,26000,YH FROZEN,Tangerang,30,5.0,Fiesta
Fiesta Shrimp Nugget Bubble Crispy Nugget Udang Crispy 450gr,36000,Super Food Mania,Jakarta Timur,8,5.0,Fiesta
Naget ayam fiesta 250 gr,27000,Mulyafrozenfood,Depok,11,5.0,Fiesta
fiesta nugget nuget dino naget ayam bentuk dinosaurus 500gr,55000,Bright Frozen Food,Jakarta Pusat,50,5.0,Fiesta
Fiesta Crispy Shrimp Nugget 450g || Nugget Udang,38000,RN FROZEN FOOD,Jakarta Selatan,7,5.0,Fiesta
Fiesta Crispy Bubble Nugget 500 gr,45900,BerkatPangan,Tangerang Selatan,50,5.0,Fiesta
Fiesta Chicken Nugget / Naget Ayam Fiesta 500 gram,46500,Rahmatika Freshmart,Tangerang Selatan,250,5.0,Fiesta
Nugget Ayam Fiesta 250gr,25000,TOKO YENTI,Bekasi,500,5.0,Fiesta
Dimsum Ayam Frozen Kemasan Vakum Hommade isi 10,31000,Kuka Kuka Meat Shop Jaksel,Jakarta Selatan,50,5.0,Fiesta
Kanzler Crispy Chicken Nugget 450gr Naget Ayam Krispi,42900,Frozone Market Jakarta Timur,Jakarta Timur,8000,5.0,Fiesta
Cedea Fish Dumpling - Cheese & Chicken Curry / Ikan Olahan Segar - Chicken Curry,33725,Kuka Kuka Meat Shop Jaksel,Jakarta Selatan,16,5.0,Fiesta
Fiesta Happy Star 500gr (Naget Ayam Happy Star),52000,Orient Food,Surabaya,70,5.0,Fiesta
Cedea Chikuwa Mini Cedea 250gr cocok utk shabu2,23900,Kuka Kuka Meat Shop Jaksel,Jakarta Selatan,40,5.0,Fiesta
