rating,review
5,Pengiriman OK. Packaging Kurang aman. Produk datang sesuai pesanan dan produk dalam keadaan baik. Terima kasih. Exp 2023
5,"pengiriman cepat, rasanya enak, dan anak suka, terimakasih 🙏"
5,Jangan beli tempat lain. HANYA DISINI!
5,Mantul!
5,Kanzler selalu enak tapi insulated lunch bag engga begitu berfungsi untuk panas atau dingin
5,mantul produknya. adminnya juga ramah
5,Mantap sesuai
5,"Karena ditaro dalam cooller, jd masih fresh. Pengiriman cepat"
5,"Paket lengkap, dapat cooler bag dan ucapan selamat idul fitri. Packaging rapih. Terima kasih"
5,"mantap, packing rapi, harganya juga termasuk murah soalnya dapet banyak bgt isiannya"
5,Favorit keluarga ❤️
5,"barang lengkap, pengiriman cepat"
5,barang sesuai...
5,"puas banget , kanzler emg Daebbak"
5,
5,
5,sesuai dengan pesanan
5,Produk lengkap murah enak
5,mantap
5,paketnya sampai dengan aman. makasih banyakkk kanzler.. 💞🙏
5,"makasih gan paket sdh di terima dgn sangat baik..
Sukses selalu"
5,packaging rapih dan barang cepat diantar
5,sampainya lebih cepat dr perkiraan . makasih kenzler
5,Tq kaka paket komplit nya sampai
5,"Hamper kanzler tiba dengan aman packaging rapi pengiriman cepat, kondisi barang bagus semua lengkap tanpa kurang satupun mantap banget nih 😁😁😁 semua pada suka makasih... "
5,ntapp
5,"mantulity, puas banget"
5,"mantulity, biarkan bintang bicara"
5,mantap suranyap!!! 👍👍👍
5,dapat harga 20ribu. rasanya enakk bner. anakku suka
5,good
5,Mantap banget
5,"nugget paling enak, emang ga salah ada harga ada rasa.."
5,sangat rekomen👍
5,mantap👍
4,"pesan tgl 22 april. tiba tgl 25 april.
packing oke, rapi, ga ada masalah, barang bagus
exp date 2023"
4,"pesan tgl 22 april, diterima tgl 25 april.
packing oke, rapi, tidak ada masalah.
exp date juga tahun 2023."
5,pengiriman sangat cepat. terima kasih
5,Harga promo okey. Pengiriman cepat krn pakai gosend. Packing rapi.
5,Lezat
5,enakkkkkkkkk binggooo
5,Orderan kedua tetap oke oce 👍🏼
5,"terbaik, cuma adminnya aja yang nggak responsif xixixi"
5,Good
5,Good
5,Good
5,Good
5,Good
5,Good
5,Good
4,Rasa enak.. cm lama pengirimannya
4,Rasa pasti enak.. cm lama pengirimannya
5,Enakkkk
5,"Admin responsif, barang aman, expired lama, memuaskan"
5,"Admin responsif, barang aman, expired masih lama. Memuaskan!"
5,"sosis sampai masih dalam beku, packing aman, sering2 promo yahhh"
3,nuggetnya enak.. cmn pengirimannya mending pake yg instant.. klo ga nyampenya lamaaaa .. ud ga dingin nuggetnya.. nyampenya jg jam 11 malem..😭😭
5,"Uda sampe cepet banget di hari yg sama, lgsg dicoba masak pake air fryer, dan enak garing dan enak"
5,"MAKASIH PROMOO NYAA, ASLI MURAH BANGET KAYA BELI PERMEN, SERING2 YAA PROMO,, OH IYAA KALO MAU CEK BARANG MURAH BISA DI MOOCY.STOREE  YAAA, MAKASIH"
5,"Sangat memuaskan, hanya saja waktu pre-order terlalu lama"
5,mantap layanan nya...
5,"Pengiriman cepat, produk diterima dengan baik.

Pada awalnya terdapat kesalahan barang yang dikirim. Tetapi oleh tim Kanzler Official Store segera dikirimkan produk pengg... "
2,
2,
5,dapat gratis botol minum. thanks
5,"Enakk banget, anak2 suka"
5,katanya po eh tapi tau tau dapet notif kalo pesanannya di kirim :' pengiriman aman dan lumayan banget cashbacknya😍
5,packaging rapi... pengiriman oke.. barang sesuai pesanan...harga murah meriah... free ongkir pula... mantapzzzzz...
5,Packing baik. exp lama
5,kesukaan anak anak ni.. sosis sama nuget nya enak.pas kemarin lgi promo jadi 20rban mantap
5,rasanya enakkk bgt...
5,barang sesuai deskripsi
5,"mantap, dapat extra gift. Makasih Kanzler."
5,baksonya agak kecil tapi rasa olahan Kanzler emang terbaik
5,kondisi barang pas sampai di rumah masih dingin.. mantab banget deh.. thank you seller
5,proses cepat serta product nya sesuai detail tq.
5,"deket rumah ada reseller nya tp tiap kesana tutup, trnyt lewat sini cepet bocah jd seneng, makasih lhoo ini buat sahur bocah"
5,enakk sosisnya... Terima kasih
5,enak banget rasanya
5,"mantap, rasa selalu terjamin enak, pengiriman jg cepat."
5,"mantap, rasa selalu terjamin enak, pengiriman jg cepat."
5,"mantap, rasa selalu terjamin enak, pengiriman jg cepat."
5,"mantap, rasa selalu terjamin enak, pengiriman jg cepat."
5,tengkiiuuuu.. 👍🙏
5,tengkiiuuuu.. 👍🙏
5,tengkiiuuuu.. 👍🙏
5,tengkiiiuuu.. 👍🙏
5,"Produk Bagus. Kualitas Produk Bagus. Produk Sesuai. 
Barang sesuai pesanan... packaging rapi... pengiriman cepat.. mantapzzzzz"
5,barang sudah sampai dan kondisinya sangat bik
5,barang sudah sampai dan kondisinya sgt baik
5,terima kasih
5,Enak chicken nugget nya... Ayam asli 👍🏻
5,Mantap sosis nya 👍🏻
2,"ceritanya pjng, barang sampe nyasar, udah gitu gojeknya tdk di kasih uanh parkir, akhirnya sy yg byr parkirnya.prosedurnya ribet."
5,"Sampai dengan aman, masih beku juga pas sampe. Langsung dimasak deh, enak bgt sosis kanzler yg keju ini"
5,"Mantap barang sampai dengan aman, kanzler nugget paling enak sih emang 👍🏼"
2,"pengiriman jam 12 siang, tiba hampir jam 8 malam. kemasan cuma menggunakan plastik, tanpa tambahan es. paket tiba sudah benar2 suhu ruangan. mohon lebih diperhatikan utk... "
5,"pengiriman cepat, barang sesuai pesanan, packing aman"
5,"pengiriman cepat, packing aman, barang sesuai pesanan"
5,"pengiriman cepat, packing aman, barang sesuai pesanan"
5,enak...udh di coba..exp nya msh lama lg. thanks seller.
4,ok..blm dicoba smoga suka...exp nya msh lama suka deh😄
5,mantab...
5,rasanya mantappppp
5,so far the best nugget yg pernah aku makan.. sukaaaaaa..
5,Proses cepat dan pengiriman jg cepat thx
5,Proses cepat dan pengiriman jg cepat thx
5,"Proses cepat dan pengiriman juga cepat
 Thx"
5,Mantab jiwaaa
5,enak
5,enak
5,enak
5,good service
5,good service
5,Enaaak. Beli karena stock di kulkas
5,Enaaak. Beli karena stock di kulkas
5,"Datang tepat waktu. Expired masih lama. Enaaaak. thank you, seller"
5,"Datang tepat waktu. expired masih lama. Enaaaak. thank you, seller"
5,Mantap! Expirednya msh jauh. Tks
5,Mantap! Expirednya masih jauh. Tks
5,barang sesuai
5,b aja
5,Mantapss sosisnya
5,Mantapsss sosisnya
5,Luar biasa. Official store. Very fast response. Produk pasti ok punya.
5,"mantull.. pengiriman cepat, aman, packing rapih.. dan kualitas barangnya oke.. terimakasih seller, kurir dan tokopedia.."
5,"Good seller dan good product, sudah repeat order"
5,Sosisnya enakk pengiriman cepat packing rapih! Thankyou!
5,Barang ok cepet sampe juga makasih!
5,belum dimasak jadi belum tau rasanya tapi dari tampilannya pasti enak
5,Rasa daging olahan beef nya lebih mantab.
5,Respon cepat
5,"PLS KENAPA SUSAH BANGET DAPET STOCK NYA~ 
TAPI EMANG KANZLER DABEST~~"
5,Nugget terenak sepanjang masa. Kurang nya cuma 1 ! Susahhhhhhhhhhh bgt di beli nya sampe harus PO2 si supermarket ga pernah ada
5,"dikasi vocer lagi asik 
makasi ya 
hehehehehehehehehehehehehehehehehheeh"
5,mantap
5,Muraaah.
5,"Packing aman, dapat harga murah dan expired date masih lama (2023) 👍🏻"
5,Produk bagus.. Produk berkualitas.. seller ramah dan baik.. packing aman.. packing rapih.. produk sampai dengan aman dan tidak rusak.. terima kasih seller.. sukses selalu... 
5,Produk bagus.. Produk berkualitas.. seller ramah dan baik.. packing aman.. packing rapih.. produk sampai dengan aman dan tidak rusak.. terima kasih seller.. sukses selalu... 
5,"mantap live toko mama gigi jadi 15rb cepat sampai, makasih toko mama gigi dan tokopedia, sukses selalu"
5,Udh kesekian kalinya order dsini n puas dg pelayanannya.
5,okok mantabbb
5,barang sesuai
5,Terimakasih banyak ya gan.. :)
5,"pengiriman sangat cepat, rasanya ngga usah diragukan lg.. enak bangeeettt
Langsung di eksekusi 😁"
5,barang oke. pengiriman cukup cepat. thank u ya seller hehehe
5,barang enakkkk. pengiriman cukup cepat. thank u ya seller hehehe
5,"Salah beli, kirain yang crispy ternyata yg biasa. Tapi enak kok, kanzler ga pernah ga enak sih. Next time semoga dapet yg nugget crispy :)"
5,"Kanzler as usual ga pernah ga enak, frozen food anti failed pokoknya. Ga perlu bingung makan apa kalo lg bingung makan 🙂"
5,mantab...sosisnya..mantab voucher nya..tks
5,mantab sosis nya ..tks..seneng dapet voucher..
5,mantab sosisnya dah sampe...dapet voucer juga..makacih..
5,Ok
5,"barang sampai dengan cepat, kondisi baik dan seller cepat tanggap!"
5,Enakkk.. Sering2 FS dh varian lain jg
5,barang sesuai pesanan
5,"rasa sosisnya enak, pengirimannya sangat cepat sampai, harga sesuai dengan rasa"
4,"cm agak lama aja pengirimannya, kurang bs menghargai customer"
5,All good
5,enak banget. rasa dagingnya berasa dan ada crunchy crunchy nya gitu... praktis apalagi buat ibu ibu yang sering ga keburu masak kayak saya 🤭
5,"Dagingnya tebel, enak, sayangnya ga ada pengiriman yg bebas ongkir."
5,"Enak, sesuai deskripsi. Packaging aman, tidak ada kemasan yang rusak. Pengiriman cepat."
5,"Enak, sesuai dengan deskripsi. Packaging aman, tidak ada kemasan yang rusak."
5,hepi bgt dpt fs kanzler sosis paling enak ala hotel
5,sameday anteraja masih dingin langsung masukin freezer aman
5,"Barang sesuai, expired date masih lama. Packaging baik. Pengiriman cepat."
