nama_produk,harga_produk,penjual,lokasi_toko,jumlah_terjual,rating_produk,brand
PROMO KANZLER NUGGET CHICKEN CRISPY 450 GR,41999,tsaqib tako,Kab. Bekasi,250,5.0,Kanzler
Sosis Kanzler Cheese Frankfurter Beef Sausage / Sosis Keju 360gr - 1PCS ,47900,Bliss Kitchen Jakarta,Jakarta Pusat,1000,5.0,Kanzler
Kanzler Smoked beef 250 gr,35535,SAJI Frozen&Snack,Jakarta Barat,100,5.0,Kanzler
 Kanzler Frankfurter Cocktail 500 gr,44032,SAJI Frozen&Snack,Jakarta Barat,60,5.0,Kanzler
Kanzler Crispy Chicken Nugget Stick Naget Ayam Krispi Bubble Crispy,41000,DELI FROZZ,Jakarta Utara,17,5.0,Kanzler
Frankfurter Cocktail Sosis Ayam (500 gram) - Kanzler,54000,Belanja Segar,Jakarta Utara,90,4.9,Kanzler
Kanzler Crispy Chicken Nugget 120gr - 1 Pack,13775,Kuka Kuka Shop,Jakarta Barat,100,5.0,Kanzler
KANZLER - Crispy CHICKEN NUGGET & Original Premium CHICKEN NUGGET - ORIGINAL Nugget,50999,saleseason_by_summer,Medan,30,5.0,Kanzler
Kanzler Chicken Nugget ORIGINAL 450gr,40280,pelangi girls naget,Jakarta Timur,100,4.9,Kanzler
Kanzler Crispy Chicken Nugget Stick | Naget Ayam Stik Krispie - 450gr,39500,Hijrahfood Meatshop Depok,Depok,30,5.0,Kanzler
kanzler nugget crispy ,38500,warungmuh151,Jakarta Barat,40,5.0,Kanzler
kanzler crispy nugget stick,40000,Ratih Frozen Food,Depok,40,4.9,Kanzler
PREMIUM SOSIS KANZLER BEEF COCKTAIL 500gram,52962,Kuka Kuka Shop,Jakarta Barat,250,5.0,Kanzler
kanzler crispy nugget 500,41000,rsb frozen food margacinta,Bandung,30,5.0,Kanzler
sosis ayam kanzler cheese cocktail 500gr/kanzler sosis cheese cocktail,46500,Fresh Multi,Jakarta Utara,100,4.9,Kanzler
Kanzler Crispy Chicken Stick Nugget 450gr,37600,Foodia Mart,Jakarta Timur,30,5.0,Kanzler
Kanzler Nuget Crispy Stik 450 gram,41000,KING DURIAN84,Depok,50,5.0,Kanzler
Kanzler Singles Sosis Sapi Siap Makan | Beef Sausage RTE - Pilih Rasa,7800,Hijrahfood Meatshop,Jakarta Barat,3000,5.0,Kanzler
KANZLER Crispy Chicken Nugget 120 gr Freshbox,23800,FreshBox,Tangerang,80,4.6,Kanzler
KANZLER Chicken Cordon Bleu 300 gr,44900,Dilla Frozen Food,Bekasi,100,5.0,Kanzler
Kanzler Singles Bakso Sapi Siap Makan | Beef Meatballs RTE - Plih Rasa,7300,Hijrahfood Meatshop,Jakarta Barat,500,4.9,Kanzler
Kanzler cimory chicken nugget crispy 450gr,40999,Mandiri Frozen,Tangerang,1000,4.9,Kanzler
Sosis Kanzler Beef Cocktail Sausage / Sosis Mini 250gr,29900,Bliss Kitchen Jaksel,Jakarta Pusat,3000,5.0,Kanzler
Kanzler Crispy Chicken Nugget 450 gr,43500,Juragan Daging Indonesia,Jakarta Selatan,250,5.0,Kanzler
Kanzler Chiken Nugget 450gr,38000,Mitra Segar Abadi,Jakarta Barat,250,4.9,Kanzler
PREMIUM SOSIS KANZLER BEEF COCKTAIL 500GR,52962,Kuka Kuka Meat Shop,Jakarta Utara,250,4.9,Kanzler
Kanzler Singles Original,8240,SAJI Frozen&Snack,Jakarta Barat,40,5.0,Kanzler
Kanzler Sosis Beef Cocktail 250Gr Bestseller!,30875,Kuka Kuka Meat Shop,Jakarta Utara,100,4.7,Kanzler
Sosis Kanzler Blackpepper Frankfurter Beef Sausage 300gr,39900,Bliss Kitchen Jakarta,Jakarta Pusat,750,5.0,Kanzler
KANZLER CHICKEN NUGGET PREMIUM 450gr / 450 gr,39800,Wiralel,Tangerang,250,5.0,Kanzler
KANZLER CRISPY CHICKEN NUGGET 450GR,40000,cemerlang frozen food,Jakarta Timur,1000,5.0,Kanzler
