nama_produk,harga_produk,penjual,lokasi_toko,jumlah_terjual,rating_produk,brand,product_category
Kanzler chicken nugget / kanzler crispy nugget ayam Halal Mui - Crispy 450g,42900,Fresh Multi,Jakarta Utara,250,5.0,Kanzler,Nugget
Kanzler Crispy Chicken Nugget 450 g Pack,39900,Ayoo! Fresh,Tangerang Selatan,1000,5.0,Kanzler,Nugget
Sosis Kanzler Cheese Frankfurter Beef Sausage / Sosis Keju 360gr,47900,Bliss Kitchen Jakarta,Jakarta Pusat,1000,5.0,Kanzler,Sausage
Kanzler Crispy Chicken Nugget Stick | Naget Ayam Stik Krispie - 450gr,42500,Hijrahfood Meatshop Bekasi,Bekasi,60,5.0,Kanzler,Nugget
Kanzler Beef Cocktail Sausage 250 gram,28000,Indah Frozen Food,Surabaya,100,4.9,Kanzler,Sausage
Kanzler Crispy Chicken Nugget 450 gram,41000,Indah Frozen Food,Surabaya,2000,4.9,Kanzler,Nugget
Kanzler Crispy Chicken Nugget | Naget Ayam Krispy (450 gr),39500,Hijrahfood Meatshop Tanjung Duren Jakarta Barat,Jakarta Barat,100,5.0,Kanzler,Nugget
Nugget Kanzler Crispy Bubble Crumb Chicken Naget Ayam Crumbs,19500,Nishimura,Tangerang Selatan,18,5.0,Kanzler,Nugget
Bakso sapi pedas Kanzler Bakso hot Kanzler singles pack 55g isi 4pc,7500,SinarMurni,Jakarta Pusat,250,4.9,Kanzler,Meatball
KANZLER CRISPY CHICKEN NUGGET 450 GRAM,40500,Raveshop123,Jakarta Barat,250,5.0,Kanzler,Nugget
kanzler beef cocktail 500 gram,47950,AZEINN,Jakarta Selatan,2000,5.0,Kanzler,Other
Sosis sapi dan ayam pedas Sosis Kanzler Hot sosis single hot 1 x 65g,7500,SinarMurni,Jakarta Pusat,3000,4.9,Kanzler,Sausage
Kanzler Chicken Nugget 450gr,36950,Foodia Mart,Jakarta Timur,17,5.0,Kanzler,Nugget
STICK KANZLER NAGET CRISPY 450gr,41600,pelangi girls naget,Jakarta Timur,50,4.9,Kanzler,Other
Kanzler Chicken Nugget 450gr Naget Ayam,40900,Frozone Market Jakarta Timur,Jakarta Timur,750,5.0,Kanzler,Nugget
kanzler nugget crispy stick 450gram,40000,tokoflashsalemodernland,Tangerang,30,5.0,Kanzler,Nugget
KANZLER CHICKEN NUGGET 450g,39500,Madina Frost,Kab. Tangerang,250,5.0,Kanzler,Nugget
Kanzler Cheese Cocktail Sausage | Sosis Breakfast Keju (500 gr),48900,Hijrahfood Meatshop,Jakarta Barat,2000,5.0,Kanzler,Sausage
sosis kanzler cocktail 250 gram,24500,AZEINN,Jakarta Selatan,4000,5.0,Kanzler,Sausage
