nama_produk,harga_produk,penjual,lokasi_toko,jumlah_terjual,rating_produk
Kanzler Crispy Chicken Nugget STICK,Rp41.900,Aishakira online,Jakarta Timur,100+ terjual,5.0
Kanzler Crispy Chicken Nugget / Naget Ayam Berbumbu Krispi (450 gr),Rp39.500,Hijrahfood Meatshop Depok,Depok,250+ terjual,5.0
Kanzler Crispy Chicken Nugget Stick Ayam 450 Gram,Rp39.500,KitaKito Foods,Tangerang Selatan,100+ terjual,5.0
Smoked Beef Kanzler 1kg,Rp117.490,Toko Kuliner Jakpus,Jakarta Pusat,250+ terjual,5.0
KANZLER Crispy Chicken Nugget 450 g,Rp39.500,Hamina Froz,Bekasi,27 terjual,5.0
KANZLER CRISPY CHICKEN STICK NUGGET 450G,Rp53.900,LOTTE Mart Bintaro,Tangerang Selatan,30+ terjual,5.0
CHICKEN NUGGET PREMIUM KANZLER 450GR NAGET AYAM HALAL,Rp38.500,LatteBless,Jakarta Selatan,3rb+ terjual,4.9
KANZLER Crispy Chicken Nugget,Rp39.480,RIESA Mart,Tangerang Selatan,2rb+ terjual,5.0
KANZLER NUGGET ORIGINAL 450G,Rp44.900,LOTTE Mart Official,Jakarta Selatan,250+ terjual,5.0
Kanzler Crispy Chicken Nugget Ayam 120 Gram,Rp12.900,KitaKito Foods,Tangerang Selatan,100+ terjual,5.0
Kanzler Chicken Nugget Stick Crispy 450gr,Rp42.230,SAJI Frozen&Snack,Jakarta Barat,100+ terjual,4.9
KANZLER CHICKEN NUGGET ORIGINAL 450GR,Rp39.999,Lancar FreshMart,Jakarta Utara,750+ terjual,5.0
KANZLER CRISPY CHICKEN STICK NUGGET 450g,Rp39.700,Madina Frost,Kab. Tangerang,100+ terjual,5.0
kanzler chicken cordon bleu 300gr,Rp42.500,AZEINN,Jakarta Selatan,250+ terjual,5.0
Kanzler Crispy Chicken Nugget 450 gram Sayurbox,Rp58.500,Sayurbox,Jakarta Selatan,100+ terjual,4.9
kanzler nugget crispy 450gr,Rp38.500,warungmuh151,Jakarta Barat,50+ terjual,5.0
kanzler crispy chicken nugget,Rp38.500,micha_slicebeef,Kab. Bogor,100+ terjual,5.0
Kanzler chicken nugget / kanzler crispy nugget ayam Halal Mui,Rp42.900,Multi food jakarta,Jakarta Utara,750+ terjual,5.0
Kanzler Crispy Chicken Nugget 450gr,Rp38.500,Toko DFF,Jakarta Selatan,2rb+ terjual,5.0
kanzler chicken nugget ayam 450gr,Rp41.500,Bright Frozen Food,Jakarta Pusat,3rb+ terjual,5.0
Kanzler Crispy Chicken Nugget Stick 450gr,Rp39.000,Kebab Mini Frozen Food,Jakarta Timur,70+ terjual,4.9
Kanzler Crispy chicken nugget 450 Gr,Rp38.000,OryzaFrozenFood,Depok,2rb+ terjual,5.0
CRISPY CHICKEN NUGGET KANZLER 450gr NAGET AYAM KRISPI HALAL,Rp38.500,NdoroStore,Kab. Bogor,70+ terjual,5.0
Kanzler Crispy Chicken Nugget 450 Gr,Rp45.000,Torang Mart,Kab. Bogor,26 terjual,5.0
Kanzler Crispy Chicken Nugget 450gr,Rp38.000,Kasyfil Market Jakarta,Jakarta Selatan,250+ terjual,5.0
Kanzler Crispy Chicken Nugget 450gr,Rp37.400,Foodia Mart,Jakarta Timur,30+ terjual,5.0
PROMO KANZLER NUGGET CHICKEN CRISPY 450 GR,Rp41.999,tsaqib tako,Kab. Bekasi,250+ terjual,5.0
Sosis Kanzler Cheese Frankfurter Beef Sausage / Sosis Keju 360gr - 1PCS ,Rp47.900,Bliss Kitchen Jakarta,Jakarta Pusat,1rb+ terjual,5.0
Kanzler Smoked beef 250 gr,Rp35.535,SAJI Frozen&Snack,Jakarta Barat,100+ terjual,5.0
kanzler chicken nugget,Rp39.500,Aishakira online,Jakarta Timur,10rb+ terjual,5.0
 Kanzler Frankfurter Cocktail 500 gr,Rp44.032,SAJI Frozen&Snack,Jakarta Barat,60+ terjual,5.0
Kanzler Crispy Chicken Nugget Stick Naget Ayam Krispi Bubble Crispy,Rp41.000,DELI FROZZ,Jakarta Utara,17 terjual,5.0
 Kanzler Frankfurter Cocktail 500 gr,Rp44.032,SAJI Frozen&Snack,Jakarta Barat,60+ terjual,5.0
Kanzler Crispy Chicken Nugget Stick Naget Ayam Krispi Bubble Crispy,Rp41.000,DELI FROZZ,Jakarta Utara,17 terjual,5.0
Frankfurter Cocktail Sosis Ayam (500 gram) - Kanzler,Rp54.000,Belanja Segar,Jakarta Utara,90+ terjual,4.9
Kanzler Crispy Chicken Nugget 120gr - 1 Pack,Rp13.775,Kuka Kuka Shop,Jakarta Barat,100+ terjual,5.0
KANZLER - Crispy CHICKEN NUGGET & Original Premium CHICKEN NUGGET - ORIGINAL Nugget,Rp50.999,saleseason_by_summer,Medan,30+ terjual,5.0
kanzler crispy chicken nugget 450gr,Rp39.000,Ara Frozen,Jakarta Timur,30+ terjual,5.0
Kanzler Chicken Nugget ORIGINAL 450gr,Rp40.280,pelangi girls naget,Jakarta Timur,100+ terjual,4.9
Kanzler Crispy Chicken Nugget Stick | Naget Ayam Stik Krispie - 450gr,Rp39.500,Hijrahfood Meatshop Depok,Depok,30+ terjual,5.0
kanzler nugget crispy ,Rp38.500,warungmuh151,Jakarta Barat,40+ terjual,5.0
kanzler crispy nugget stick,Rp40.000,Ratih Frozen Food,Depok,40+ terjual,4.9
PREMIUM SOSIS KANZLER BEEF COCKTAIL 500gram,Rp52.962,Kuka Kuka Shop,Jakarta Barat,250+ terjual,5.0
kanzler crispy nugget 500,Rp41.000,rsb frozen food margacinta,Bandung,30+ terjual,5.0
sosis ayam kanzler cheese cocktail 500gr/kanzler sosis cheese cocktail,Rp46.500,Fresh Multi,Jakarta Utara,100+ terjual,4.9
Kanzler Crispy Chicken Nugget 450gr,Rp42.900,Brother Meat Shop,Depok,9rb+ terjual,5.0
Kanzler Crispy Chicken Stick Nugget 450gr,Rp37.600,Foodia Mart,Jakarta Timur,30+ terjual,5.0
Kanzler Nuget Crispy Stik 450 gram,Rp41.000,KING DURIAN84,Depok,50+ terjual,5.0
Kanzler Singles Sosis Sapi Siap Makan | Beef Sausage RTE - Pilih Rasa,Rp7.800,Hijrahfood Meatshop,Jakarta Barat,3rb+ terjual,5.0
KANZLER Crispy Chicken Nugget 120 gr Freshbox,Rp23.800,FreshBox,Tangerang,80+ terjual,4.6
KANZLER Chicken Cordon Bleu 300 gr,Rp44.900,Dilla Frozen Food,Bekasi,100+ terjual,5.0
Kanzler Singles Bakso Sapi Siap Makan | Beef Meatballs RTE - Plih Rasa,Rp7.300,Hijrahfood Meatshop,Jakarta Barat,500+ terjual,4.9
Kanzler Beef Cocktail Sausage | Sosis Sapi Breakfast Original (250 gr),Rp29.800,Hijrahfood Meatshop,Jakarta Barat,2rb+ terjual,5.0
Kanzler cimory chicken nugget crispy 450gr,Rp40.999,Mandiri Frozen,Tangerang,1rb+ terjual,4.9
Sosis Kanzler Beef Cocktail Sausage / Sosis Mini 250gr,Rp29.900,Bliss Kitchen Jaksel,Jakarta Pusat,3rb+ terjual,5.0
Kanzler Crispy Chicken Nugget 450 gr,Rp43.500,Juragan Daging Indonesia,Jakarta Selatan,250+ terjual,5.0
Kanzler Chiken Nugget 450gr,Rp38.000,Mitra Segar Abadi,Jakarta Barat,250+ terjual,4.9
PREMIUM SOSIS KANZLER BEEF COCKTAIL 500GR,Rp52.962,Kuka Kuka Meat Shop,Jakarta Utara,250+ terjual,4.9
Kanzler Singles Original,Rp8.240,SAJI Frozen&Snack,Jakarta Barat,40+ terjual,5.0
Kanzler Sosis Beef Cocktail 250Gr Bestseller!,Rp30.875,Kuka Kuka Meat Shop,Jakarta Utara,100+ terjual,4.7
Sosis Kanzler Blackpepper Frankfurter Beef Sausage 300gr,Rp39.900,Bliss Kitchen Jakarta,Jakarta Pusat,750+ terjual,5.0
kanzler chicken cordon blue 300 gram,Rp42.900,Ara Frozen,Jakarta Timur,,
KANZLER CHICKEN NUGGET PREMIUM 450gr / 450 gr,Rp39.800,Wiralel,Tangerang,250+ terjual,5.0
KANZLER CRISPY CHICKEN NUGGET 450GR,Rp40.000,cemerlang frozen food,Jakarta Timur,1rb+ terjual,5.0
kanzler crispy chicken nugget stick naget ayam stik renyah ,Rp41.500,Bright Frozen Food,Jakarta Pusat,100+ terjual,5.0
